team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2007/08,Royal Challengers Bangalore,field,Rajasthan Royals,65,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2019,Rajasthan Royals,field,Rajasthan Royals,0,7
Lucknow Super Giants,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2022,Mumbai Indians,field,Lucknow Super Giants,36,0
Punjab Kings,Sunrisers Hyderabad,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,7
Delhi Capitals,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2024,Mumbai Indians,field,Delhi Capitals,10,0
Lucknow Super Giants,Chennai Super Kings,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Chennai Super Kings,field,Chennai Super Kings,0,5
Kings XI Punjab,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,2013,Delhi Daredevils,field,Kings XI Punjab,7,0
Deccan Chargers,Rajasthan Royals,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2007/08,Rajasthan Royals,field,Rajasthan Royals,0,3
Punjab Kings,Rajasthan Royals,Guwahati,"Barsapara Cricket Stadium, Guwahati",2023,Rajasthan Royals,field,Punjab Kings,5,0
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2018,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,2017,Royal Challengers Bangalore,field,Kings XI Punjab,19,0
Delhi Capitals,Chennai Super Kings,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2024,Delhi Capitals,bat,Delhi Capitals,20,0
Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,2011,Delhi Daredevils,bat,Mumbai Indians,0,8
Kolkata Knight Riders,Chennai Super Kings,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Kolkata Knight Riders,bat,Kolkata Knight Riders,10,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2018,Rajasthan Royals,field,Kolkata Knight Riders,25,0
Delhi Capitals,Punjab Kings,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023,Punjab Kings,field,Delhi Capitals,15,0
Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,2012,Mumbai Indians,bat,Kings XI Punjab,0,6
Pune Warriors,Chennai Super Kings,Pune,Subrata Roy Sahara Stadium,2013,Chennai Super Kings,bat,Chennai Super Kings,37,0
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,2015,Royal Challengers Bangalore,field,Chennai Super Kings,27,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2016,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5
Gujarat Titans,Punjab Kings,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024,Punjab Kings,field,Punjab Kings,0,3
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,2015,Kings XI Punjab,field,Royal Challengers Bangalore,138,0
Rajasthan Royals,Delhi Capitals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2024,Delhi Capitals,field,Rajasthan Royals,12,0
Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,2018,Delhi Daredevils,field,Kolkata Knight Riders,71,0
Rajasthan Royals,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021,Punjab Kings,field,Rajasthan Royals,2,0
Pune Warriors,Delhi Daredevils,Mumbai,Dr DY Patil Sports Academy,2011,Delhi Daredevils,field,Delhi Daredevils,0,3
Punjab Kings,Gujarat Titans,Mumbai,"Brabourne Stadium, Mumbai",2022,Gujarat Titans,field,Gujarat Titans,0,6
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,2014,Royal Challengers Bangalore,field,Kings XI Punjab,32,0
Rising Pune Supergiants,Kolkata Knight Riders,Pune,Maharashtra Cricket Association Stadium,2016,Kolkata Knight Riders,field,Kolkata Knight Riders,0,2
Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2017,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,10,0
Delhi Daredevils,Mumbai Indians,Centurion,SuperSport Park,2009,Delhi Daredevils,field,Delhi Daredevils,0,4
Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,2007/08,Rajasthan Royals,bat,Rajasthan Royals,45,0
Lucknow Super Giants,Gujarat Titans,Mumbai,"Wankhede Stadium, Mumbai",2022,Gujarat Titans,field,Gujarat Titans,0,5
Punjab Kings,Chennai Super Kings,Mumbai,"Brabourne Stadium, Mumbai",2022,Chennai Super Kings,field,Punjab Kings,54,0
Chennai Super Kings,Kings XI Punjab,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2019,Kings XI Punjab,field,Kings XI Punjab,0,6
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,2013,Chennai Super Kings,field,Royal Challengers Bangalore,24,0
Rajasthan Royals,Royal Challengers Bangalore,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Rajasthan Royals,bat,Royal Challengers Bangalore,0,8
Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2007/08,Kolkata Knight Riders,bat,Chennai Super Kings,3,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2014,Royal Challengers Bangalore,field,Kolkata Knight Riders,30,0
Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,2012,Rajasthan Royals,bat,Mumbai Indians,0,10
Gujarat Titans,Lucknow Super Giants,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Gujarat Titans,bat,Gujarat Titans,62,0
Chennai Super Kings,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk",2015,Chennai Super Kings,bat,Chennai Super Kings,45,0
Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2013,Mumbai Indians,bat,Mumbai Indians,60,0
Royal Challengers Bangalore,Delhi Daredevils,Port Elizabeth,St George's Park,2009,Royal Challengers Bangalore,bat,Delhi Daredevils,0,6
Royal Challengers Bangalore,Punjab Kings,Sharjah,Sharjah Cricket Stadium,2021,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,6,0
Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,2012,Mumbai Indians,field,Delhi Daredevils,37,0
Sunrisers Hyderabad,Chennai Super Kings,NA,Sharjah Cricket Stadium,2014,Sunrisers Hyderabad,bat,Chennai Super Kings,0,5
Kings XI Punjab,Chennai Super Kings,Cuttack,Barabati Stadium,2014,Chennai Super Kings,field,Kings XI Punjab,44,0
Deccan Chargers,Chennai Super Kings,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2012,Deccan Chargers,field,Chennai Super Kings,74,0
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Mumbai Indians,field,Sunrisers Hyderabad,31,0
Kochi Tuskers Kerala,Deccan Chargers,Kochi,Nehru Stadium,2011,Kochi Tuskers Kerala,field,Deccan Chargers,55,0
Sunrisers Hyderabad,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2019,Chennai Super Kings,field,Chennai Super Kings,0,6
Rajasthan Royals,Gujarat Titans,Jaipur,"Sawai Mansingh Stadium, Jaipur",2023,Rajasthan Royals,bat,Gujarat Titans,0,9
Royal Challengers Bangalore,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021,Royal Challengers Bangalore,bat,Kolkata Knight Riders,0,9
Gujarat Titans,Kolkata Knight Riders,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Gujarat Titans,bat,Kolkata Knight Riders,0,3
Chennai Super Kings,Kolkata Knight Riders,Mumbai,"Wankhede Stadium, Mumbai",2022,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Rajasthan Royals,Sunrisers Hyderabad,Delhi,"Arun Jaitley Stadium, Delhi",2021,Sunrisers Hyderabad,field,Rajasthan Royals,55,0
Mumbai Indians,Delhi Capitals,NA,Dubai International Cricket Stadium,2020/21,Delhi Capitals,field,Mumbai Indians,57,0
Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,2009/10,Rajasthan Royals,field,Mumbai Indians,37,0
Kolkata Knight Riders,Rajasthan Royals,Sharjah,Sharjah Cricket Stadium,2021,Rajasthan Royals,field,Kolkata Knight Riders,86,0
Mumbai Indians,Chennai Super Kings,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Chennai Super Kings,field,Chennai Super Kings,0,3
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2009/10,Rajasthan Royals,bat,Royal Challengers Bangalore,0,5
Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,2009/10,Kings XI Punjab,bat,Rajasthan Royals,0,9
Kolkata Knight Riders,Pune Warriors,Kolkata,Eden Gardens,2012,Kolkata Knight Riders,bat,Kolkata Knight Riders,7,0
Gujarat Titans,Delhi Capitals,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Delhi Capitals,field,Gujarat Titans,14,0
Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024,Sunrisers Hyderabad,bat,Gujarat Titans,0,7
Kings XI Punjab,Rising Pune Supergiants,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016,Rising Pune Supergiants,bat,Kings XI Punjab,0,6
Sunrisers Hyderabad,Delhi Capitals,Dubai,Dubai International Cricket Stadium,2021,Sunrisers Hyderabad,bat,Delhi Capitals,0,8
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2012,Kings XI Punjab,bat,Delhi Daredevils,0,5
Deccan Chargers,Royal Challengers Bangalore,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2009/10,Royal Challengers Bangalore,field,Deccan Chargers,13,0
Sunrisers Hyderabad,Chennai Super Kings,Pune,Maharashtra Cricket Association Stadium,2018,Chennai Super Kings,field,Chennai Super Kings,0,8
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2015,Kings XI Punjab,field,Sunrisers Hyderabad,20,0
Gujarat Titans,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2022,Gujarat Titans,bat,Royal Challengers Bangalore,0,8
Kolkata Knight Riders,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Chennai Super Kings,field,Chennai Super Kings,0,7
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2009/10,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,2014,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,M Chinnaswamy Stadium,2012,Rajasthan Royals,bat,Rajasthan Royals,59,0
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2016,Delhi Daredevils,field,Delhi Daredevils,0,8
Chennai Super Kings,Mumbai Indians,Chennai,MA Chidambaram Stadium,2019,Chennai Super Kings,bat,Mumbai Indians,0,6
Sunrisers Hyderabad,Rajasthan Royals,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015,Rajasthan Royals,field,Rajasthan Royals,0,6
Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,2013,Rajasthan Royals,field,Rajasthan Royals,0,5
Rajasthan Royals,Gujarat Titans,Jaipur,"Sawai Mansingh Stadium, Jaipur",2024,Gujarat Titans,field,Gujarat Titans,0,3
Chennai Super Kings,Kings XI Punjab,Abu Dhabi,Sheikh Zayed Stadium,2014,Chennai Super Kings,bat,Kings XI Punjab,0,6
Deccan Chargers,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,Kings XI Punjab,field,Kings XI Punjab,0,8
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2019,Mumbai Indians,field,Kolkata Knight Riders,34,0
Kolkata Knight Riders,Deccan Chargers,Kolkata,Eden Gardens,2007/08,Deccan Chargers,bat,Kolkata Knight Riders,0,5
Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,Sunrisers Hyderabad,bat,Lucknow Super Giants,0,7
Gujarat Lions,Sunrisers Hyderabad,Kanpur,Green Park,2017,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8
Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,2007/08,Rajasthan Royals,bat,Delhi Daredevils,0,9
Sunrisers Hyderabad,Punjab Kings,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,Punjab Kings,field,Sunrisers Hyderabad,2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,2013,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0,7
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2019,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Delhi Capitals,Gujarat Titans,Delhi,"Arun Jaitley Stadium, Delhi",2025,Gujarat Titans,field,Gujarat Titans,0,10
Kolkata Knight Riders,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021,Delhi Capitals,field,Delhi Capitals,0,7
Delhi Daredevils,Royal Challengers Bangalore,Delhi,Arun Jaitley Stadium,2018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5
Delhi Capitals,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021,Rajasthan Royals,field,Rajasthan Royals,0,3
Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2018,Sunrisers Hyderabad,field,Chennai Super Kings,4,0
Pune Warriors,Rajasthan Royals,Pune,Subrata Roy Sahara Stadium,2013,Rajasthan Royals,bat,Pune Warriors,0,7
Mumbai Indians,Delhi Daredevils,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,Delhi Daredevils,field,Mumbai Indians,80,0
Delhi Capitals,Kings XI Punjab,NA,Dubai International Cricket Stadium,2020/21,Delhi Capitals,bat,Kings XI Punjab,0,5
Chennai Super Kings,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Chennai Super Kings,bat,Chennai Super Kings,27,0
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",2011,Chennai Super Kings,bat,Chennai Super Kings,2,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,2009/10,Royal Challengers Bangalore,field,Mumbai Indians,57,0
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",2015,Kolkata Knight Riders,field,Chennai Super Kings,2,0
Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2011,Chennai Super Kings,field,Mumbai Indians,8,0
Chennai Super Kings,Delhi Daredevils,Chennai,"MA Chidambaram Stadium, Chepauk",2007/08,Chennai Super Kings,bat,Delhi Daredevils,0,8
Mumbai Indians,Royal Challengers Bangalore,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7
Rajasthan Royals,Delhi Daredevils,Ahmedabad,"Sardar Patel Stadium, Motera",2014,Delhi Daredevils,field,Rajasthan Royals,62,0
Delhi Daredevils,Chennai Super Kings,Delhi,Feroz Shah Kotla,2007/08,Chennai Super Kings,field,Chennai Super Kings,0,4
Mumbai Indians,Pune Warriors,Mumbai,Wankhede Stadium,2013,Mumbai Indians,bat,Mumbai Indians,41,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2012,Rajasthan Royals,bat,Kolkata Knight Riders,0,5
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2017,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Sunrisers Hyderabad,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2023,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,9,0
Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,Sheikh Zayed Stadium,2014,Kolkata Knight Riders,field,Kings XI Punjab,23,0
Kings XI Punjab,Delhi Daredevils,Dharamsala,Himachal Pradesh Cricket Association Stadium,2011,Delhi Daredevils,field,Kings XI Punjab,29,0
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2019,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8
Kolkata Knight Riders,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2023,Delhi Capitals,field,Delhi Capitals,0,4
Kolkata Knight Riders,Gujarat Lions,Kolkata,Eden Gardens,2016,Gujarat Lions,field,Gujarat Lions,0,5
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,"Sardar Patel Stadium, Motera",2015,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9
Kolkata Knight Riders,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2025,Delhi Capitals,field,Kolkata Knight Riders,14,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,6
Punjab Kings,Chennai Super Kings,Mumbai,"Wankhede Stadium, Mumbai",2022,Chennai Super Kings,field,Punjab Kings,11,0
Chennai Super Kings,Delhi Daredevils,Chennai,"MA Chidambaram Stadium, Chepauk",2015,Delhi Daredevils,field,Chennai Super Kings,1,0
Kochi Tuskers Kerala,Rajasthan Royals,Indore,Holkar Cricket Stadium,2011,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,8
Kolkata Knight Riders,Delhi Daredevils,NA,Dubai International Cricket Stadium,2014,Kolkata Knight Riders,bat,Delhi Daredevils,0,4
Mumbai Indians,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2018,Mumbai Indians,bat,Rajasthan Royals,0,3
Kolkata Knight Riders,Royal Challengers Bangalore,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3
Rajasthan Royals,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021,Rajasthan Royals,bat,Sunrisers Hyderabad,0,7
Kings XI Punjab,Rajasthan Royals,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2019,Rajasthan Royals,field,Kings XI Punjab,12,0
Delhi Daredevils,Kolkata Knight Riders,Delhi,Arun Jaitley Stadium,2018,Kolkata Knight Riders,field,Delhi Daredevils,55,0
Rajasthan Royals,Delhi Daredevils,Jaipur,Sawai Mansingh Stadium,2011,Delhi Daredevils,bat,Rajasthan Royals,0,6
Lucknow Super Giants,Kolkata Knight Riders,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Lucknow Super Giants,bat,Lucknow Super Giants,2,0
Delhi Capitals,Mumbai Indians,NA,Dubai International Cricket Stadium,2020/21,Delhi Capitals,bat,Mumbai Indians,0,5
Delhi Daredevils,Sunrisers Hyderabad,Raipur,Shaheed Veer Narayan Singh International Stadium,2016,Delhi Daredevils,field,Delhi Daredevils,0,6
Sunrisers Hyderabad,Kolkata Knight Riders,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,8
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,Sawai Mansingh Stadium,2013,Sunrisers Hyderabad,bat,Rajasthan Royals,0,8
Sunrisers Hyderabad,Royal Challengers Bangalore,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021,Royal Challengers Bangalore,field,Sunrisers Hyderabad,4,0
Mumbai Indians,Rajasthan Royals,Durban,Kingsmead,2009,Rajasthan Royals,bat,Rajasthan Royals,2,0
Lucknow Super Giants,Mumbai Indians,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Mumbai Indians,field,Lucknow Super Giants,5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,NA,Dubai International Cricket Stadium,2020/21,Sunrisers Hyderabad,field,Royal Challengers Bangalore,10,0
Mumbai Indians,Deccan Chargers,Mumbai,Dr DY Patil Sports Academy,2007/08,Deccan Chargers,field,Deccan Chargers,0,10
Rajasthan Royals,Deccan Chargers,Ahmedabad,"Sardar Patel Stadium, Motera",2009/10,Deccan Chargers,bat,Rajasthan Royals,0,8
Mumbai Indians,Delhi Capitals,Mumbai,"Brabourne Stadium, Mumbai",2022,Delhi Capitals,field,Delhi Capitals,0,4
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,Eden Gardens,2019,Kolkata Knight Riders,field,Royal Challengers Bangalore,10,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,"Eden Gardens, Kolkata",2023,Kolkata Knight Riders,field,Chennai Super Kings,49,0
Royal Challengers Bangalore,Rajasthan Royals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2022,Rajasthan Royals,field,Rajasthan Royals,0,7
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,Sunrisers Hyderabad,field,Mumbai Indians,40,0
Kolkata Knight Riders,Royal Challengers Bangalore,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Kolkata Knight Riders,bat,Royal Challengers Bangalore,0,8
Rising Pune Supergiant,Delhi Daredevils,Pune,Maharashtra Cricket Association Stadium,2017,Rising Pune Supergiant,field,Delhi Daredevils,97,0
Delhi Capitals,Gujarat Titans,Delhi,"Arun Jaitley Stadium, Delhi",2024,Gujarat Titans,field,Delhi Capitals,4,0
Royal Challengers Bangalore,Deccan Chargers,Bangalore,M Chinnaswamy Stadium,2012,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,Rajiv Gandhi International Stadium,2019,Kings XI Punjab,field,Sunrisers Hyderabad,45,0
Rajasthan Royals,Kochi Tuskers Kerala,Jaipur,Sawai Mansingh Stadium,2011,Rajasthan Royals,field,Rajasthan Royals,0,8
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2015,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,39,0
Rising Pune Supergiant,Mumbai Indians,Pune,Maharashtra Cricket Association Stadium,2017,Rising Pune Supergiant,field,Rising Pune Supergiant,0,7
Rajasthan Royals,Kolkata Knight Riders,Ahmedabad,"Sardar Patel Stadium, Motera",2009/10,Rajasthan Royals,bat,Rajasthan Royals,34,0
Kolkata Knight Riders,Mumbai Indians,East London,Buffalo Park,2009,Mumbai Indians,bat,Mumbai Indians,9,0
Gujarat Lions,Kings XI Punjab,Rajkot,Saurashtra Cricket Association Stadium,2016,Gujarat Lions,field,Kings XI Punjab,23,0
Sunrisers Hyderabad,Rajasthan Royals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Rajasthan Royals,field,Sunrisers Hyderabad,36,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2015,Sunrisers Hyderabad,field,Kolkata Knight Riders,35,0
Mumbai Indians,Gujarat Titans,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2025,Mumbai Indians,bat,Mumbai Indians,20,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2017,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2012,Kings XI Punjab,bat,Kolkata Knight Riders,0,8
Royal Challengers Bangalore,Delhi Daredevils,Bengaluru,M.Chinnaswamy Stadium,2017,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,0
Punjab Kings,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2023,Delhi Capitals,field,Punjab Kings,31,0
Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,6
Gujarat Titans,Chennai Super Kings,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024,Chennai Super Kings,field,Gujarat Titans,35,0
Kolkata Knight Riders,Delhi Capitals,Kolkata,Eden Gardens,2019,Delhi Capitals,field,Delhi Capitals,0,7
Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,7
Chennai Super Kings,Lucknow Super Giants,Mumbai,"Brabourne Stadium, Mumbai",2022,Lucknow Super Giants,field,Lucknow Super Giants,0,6
Lucknow Super Giants,Punjab Kings,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Punjab Kings,field,Lucknow Super Giants,56,0
Chennai Super Kings,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021,Mumbai Indians,field,Mumbai Indians,0,4
Punjab Kings,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021,Delhi Capitals,field,Delhi Capitals,0,7
Chennai Super Kings,Rajasthan Royals,Ranchi,JSCA International Stadium Complex,2014,Rajasthan Royals,bat,Chennai Super Kings,0,5
Lucknow Super Giants,Mumbai Indians,Mumbai,"Brabourne Stadium, Mumbai",2022,Mumbai Indians,field,Lucknow Super Giants,18,0
Chennai Super Kings,Mumbai Indians,Mumbai,Dr DY Patil Sports Academy,2009/10,Chennai Super Kings,bat,Chennai Super Kings,22,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Brabourne Stadium,2009/10,Mumbai Indians,bat,Royal Challengers Bangalore,0,7
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,2014,Chennai Super Kings,field,Chennai Super Kings,0,8
Royal Challengers Bangalore,Kings XI Punjab,Durban,Kingsmead,2009,Royal Challengers Bangalore,bat,Kings XI Punjab,0,7
Chennai Super Kings,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",2009/10,Royal Challengers Bangalore,bat,Chennai Super Kings,0,5
Kings XI Punjab,Deccan Chargers,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2007/08,Kings XI Punjab,field,Kings XI Punjab,0,6
Chennai Super Kings,Kings XI Punjab,Chennai,"MA Chidambaram Stadium, Chepauk",2007/08,Kings XI Punjab,field,Chennai Super Kings,18,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2013,Mumbai Indians,bat,Mumbai Indians,65,0
Kings XI Punjab,Rajasthan Royals,Cape Town,Newlands,2009,Kings XI Punjab,bat,Kings XI Punjab,27,0
