team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Chennai Super Kings,Royal Challengers Bangalore,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Royal Challengers Bangalore,field,Chennai Super Kings,23,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2012,Kolkata Knight Riders,field,Kings XI Punjab,2,0
Kings XI Punjab,Kolkata Knight Riders,Durban,Kingsmead,2009,Kolkata Knight Riders,field,Kolkata Knight Riders,11,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2011,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015,Chennai Super Kings,field,Sunrisers Hyderabad,22,0
Royal Challengers Bangalore,Gujarat Lions,Bangalore,M Chinnaswamy Stadium,2016,Gujarat Lions,field,Royal Challengers Bangalore,144,0
Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2019,Chennai Super Kings,field,Mumbai Indians,37,0
Rajasthan Royals,Delhi Daredevils,Jaipur,Sawai Mansingh Stadium,2013,Delhi Daredevils,bat,Rajasthan Royals,0,9
Mumbai Indians,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021,Kolkata Knight Riders,field,Mumbai Indians,10,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2017,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,0
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2018,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,1
Delhi Capitals,Royal Challengers Bangalore,NA,Dubai International Cricket Stadium,2020/21,Royal Challengers Bangalore,field,Delhi Capitals,59,0
Kings XI Punjab,Chennai Super Kings,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2011,Kings XI Punjab,field,Kings XI Punjab,0,6
Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,M.Chinnaswamy Stadium,2019,Chennai Super Kings,field,Royal Challengers Bangalore,1,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,Kolkata Knight Riders,field,Kolkata Knight Riders,0,4
Lucknow Super Giants,Punjab Kings,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Punjab Kings,field,Punjab Kings,0,8
Sunrisers Hyderabad,Lucknow Super Giants,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Sunrisers Hyderabad,bat,Lucknow Super Giants,0,5
Chennai Super Kings,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",2007/08,Mumbai Indians,field,Chennai Super Kings,6,0
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2015,Delhi Daredevils,field,Delhi Daredevils,0,9
Rajasthan Royals,Kings XI Punjab,NA,Sharjah Cricket Stadium,2014,Kings XI Punjab,field,Kings XI Punjab,0,7
Delhi Capitals,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Delhi Capitals,bat,Delhi Capitals,5,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2012,Mumbai Indians,bat,Mumbai Indians,27,0
Delhi Capitals,Chennai Super Kings,NA,Dubai International Cricket Stadium,2020/21,Chennai Super Kings,field,Delhi Capitals,44,0
Kings XI Punjab,Pune Warriors,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2012,Kings XI Punjab,field,Kings XI Punjab,0,7
Sunrisers Hyderabad,Delhi Capitals,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Delhi Capitals,field,Sunrisers Hyderabad,15,0
Chennai Super Kings,Kings XI Punjab,Chennai,MA Chidambaram Stadium,2019,Chennai Super Kings,bat,Chennai Super Kings,22,0
Gujarat Titans,Sunrisers Hyderabad,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8
Lucknow Super Giants,Punjab Kings,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Punjab Kings,field,Lucknow Super Giants,20,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2014,Kolkata Knight Riders,field,Kolkata Knight Riders,0,4
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2011,Kings XI Punjab,field,Delhi Daredevils,29,0
Mumbai Indians,Punjab Kings,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Punjab Kings,field,Punjab Kings,0,5
Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2007/08,Mumbai Indians,field,Mumbai Indians,0,8
Lucknow Super Giants,Delhi Capitals,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025,Delhi Capitals,field,Delhi Capitals,0,1
Royal Challengers Bangalore,Kolkata Knight Riders,NA,Sharjah Cricket Stadium,2014,Royal Challengers Bangalore,field,Kolkata Knight Riders,2,0
Rajasthan Royals,Delhi Daredevils,Ahmedabad,"Sardar Patel Stadium, Motera",2009/10,Delhi Daredevils,field,Delhi Daredevils,0,6
Mumbai Indians,Delhi Daredevils,Mumbai,Dr DY Patil Sports Academy,2007/08,Delhi Daredevils,field,Mumbai Indians,29,0
Sunrisers Hyderabad,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2019,Rajasthan Royals,field,Rajasthan Royals,0,7
